username,orig_sentence,cleaned_sentence,category,sub-category
ytComments_Common Indian,"Salute to the extraordinary resolve, stamina and courage of the Congress party and sri Rahul Gandhi in undertaking this 5 month long 3570 km GRUELLING PADYAATRA for connecting with people and highlighting the issues of inflation, unemployment, emphasizing social peace and harmony ...👍",salute extraordinary resolve stamen courage congress party sri rahul gandhi undertake 5 month long 3570 km gruelling padyaatra connect people highlight issue inflation unemployment emphasize social peace harmony,positive,
ytComments_Course Facilitator,"RSS is down now! Modi ki kacchi on fire too! Now he might talk about kacchi baat, not mun ki baat!",r modi ki kacchi fire might talk kacchi baat not mun ki baat,negative,criticism
ytComments_Akhi Sucs,BJP BHAGAO DESH BACHAO,bjp bhagao desh bachao,negative,criticism
ytComments_kumarvinay,Don't worry sambit patra jald hi satta hath se jayegi jyda ahnkar mt dikhao,dont worry sambit patra jald hi satta hath se jayegi jyda ahnkar mt dikhao,negative,criticism
ytComments_Tinku Tanveer,"Joor ka jhatka dhire se
Jai ho Congress",joor ka jhatka dhire se jai ho congress,positive,
ytComments_NIKHIL GAUTAM,Mujhe nhi dikhna tumhara Aaj Tak na kal tak band kar do ye news tum bs andbhakt ho,mujhe nhi dikhna tumhara aaj tak na kal tak band kar ye news tum b andbhakt ho,positive,
ytComments_status king,Congress party jindabad,congress party jindabad,positive,
ytComments_Rakesh Kanzariya,Jay congress Jay congress,jay congress jay congress,positive,
ytComments_Akhi Sucs,RAHUL GANDHI JINDABAAD,rahul gandhi jindabaad,positive,
ytComments_Wall,Congress should not have done that,congress not,negative,criticism
ytComments_Makan singh deol,RSS,r,positive,
ytComments_Makan singh deol,BJP,bjp,positive,
ytComments_Awesome,"*Wish a great grand success to ""Bharath Jodo Yatra"" Rahulji.  *Jai Kisan Jai Jawan Jai Samvidhan 🙏 Bring back Congress to restore democracy secularism journalism and Samvidhan and thus save India from goons, gundas, hate mongers and samskari rapists 🇮🇳 👏*",wish great grand success bharath jodo yatra rahulji jai kisan jai jawan jai samvidhan bring back congress restore democracy secularism journalism samvidhan thus save india goon gundas hate monger samskari rapist,positive,
ytComments_john edward,"Great   job  done  by  Rahul.  We ,  the  commoners  of  this   great  country  , support  you  in  your  future  endeavours",great job rahul commoner great country support future endeavour,positive,
ytComments_Karimullah Abdul,"We don't see by our own, how freedom fighters got independence.
Now we again feel the same feeling from this campaign. 
Great job, Rahul ji for your correct decision at correct time. 

We welcome you, it's changing common man mind set",dont see freedom fighter get independence feel feel campaign great job rahul ji correct decision correct time welcome change common man mind set,positive,
ytComments_P Durgaiah,"Let him do  his yathra,,, its for nation",let yathra nation,positive,
ytComments_Reji cv,Rahul is hope,rahul hope,positive,
