username,orig_sentence,cleaned_sentence,category,sub-category
tweets_CyberAnonymous,"timesofindia: #Congress' #BharatJodoYatra enters 7th day 

https://t.co/5hIfvgzMB8",timesofindia enters 7th day,positive,
tweets_PumpiBaghel,"Bharat Jodo Yatra believes in inclusion of people from all walks of life. 

It believes in equality, simplicity and amplifying people's voices.
#BharatJodoYatra https://t.co/40hjuh4PWA",bharat jodo yatra believe inclusion people walk life believe equality simplicity amplify people voice,positive,
tweets_Nil_deshbhratar,"From Cycle Yatra to Padyatra, the love and support of the people remain intact.""

#YatraStories 
#BharatJodoYatra 🇮🇳 https://t.co/YzuHRUXmHJ",cycle yatra padyatra love support people remain intact,positive,
tweets_SevadalOR,"After Dinner Stunt With Auto Driver Chota Sanghi @ArvindKejriwal Returns To Delhi by Private Jet 

#BharatJodoYatra 🇮🇳 https://t.co/8d6MYidpgX",dinner stunt auto driver chota sanghi return delhi private jet,negative,hate
tweets_c_w_mckenzie,It maybe a ploy by the communist government in Kerala to defame the #BharatJodoYatra by projecting it as a nuisance for emergency services https://t.co/dxjgwwDRhi,maybe ploy communist government kerala defame project nuisance emergency service,negative,critisism
tweets_SevadalBV,"Day 7, #BharatJodoYatra 🇮🇳

Bharat Jodo Yatra believes in inclusion of people from all walks of life. 

It believes in equality, simplicity and amplifying people's voices. https://t.co/yuWDxK3k5w",day 7 bharat jodo yatra believe inclusion people walk life believe equality simplicity amplify people voice,positive,
tweets_DilipKu50136698,The joy of witnessing the historic movement unfold!  #BharatJodoYatra 🇮🇳 https://t.co/FT8IIDZy3C,joy witness historic movement unfold,positive,
tweets_ShivdeepDehari2,"Always an enlightening experience communicating ideas with the students. India's future lies in the hands of youth &amp; it is our duty to fulfill their aspirations.
#BharatJodoYatra 🇮🇳 https://t.co/KYh5TL3KV3",always enlighten experience communicate ideas student indias future lie hand youth duty fulfill aspiration,positive,
tweets_syed_zakir_1947,"Burnol moment for Sanghis
#BharatJodoYatra https://t.co/y8u7BseTwU",burnol moment sanghis,negative,hate
tweets_madshumanbeing1,"144 days more to go..!
#BharatJodoYatra https://t.co/NMWf8zeE9J",144 day go,positive,
tweets_Hisamud47588796,"@Ahimsa1616 @hisamuddink51 @Divyadrashti1 @AnilKum04619533 @Ramesh270549 @SudhirDevSharma @JitendraManoha6 @AaqCyrus @RajeshS50119232 @SavitaSikarwar @ADiravia @aj23004007 @SinghRakeshKu14 @RajeshK83114811 @_Mahakal_D_ @Chandra51364237 @RajaRajavira @RajivSi45818862 @LOC_bbk @Pandey13K @indianposten @MuzaffarIslam11 @MdtajKohri5 @AyaaniqbalMd @anilgup20692673 @patwal9560 @HashmatRuhul @Om44857240 @VijayGa21918400 @SanjayP46456817 @55659754Bhaskar @Desirul1 @JhaAvesh @Pinky717623862 @RamaSin24298825 @nareshsharma107 @Rao26641901Gs @SharrmaPoonam @lari_shakil @onkargss11 @RaviMis37169884 @vijay53438572 @CJSHENDE @Satanis43352136 @UmmedRawna @baldevs13321048 @KhalilS02065001 @patwalr336 @INCIndia @RahulGandhi Leader of one and all.
The future is here.

Rahul Gandhi Ji meeting differently able people and giving them a hope that things will be better.
#BharatJodoYatra https://t.co/flddKQCfvB",leader future rahul gandhi ji meeting differently able people give hope thing well,positive,
tweets_SevadalKL,This little one too supported the #BharatJodoYatra https://t.co/LonLTjGPWa,little support,positive,
tweets_pitchaijohn1961,"@UWCforYouth Congress Finished AAP.. 
This is the truth... 
#BharatJodoYatra https://t.co/PdN7ul0MJF",congress finish aap truth,positive,
tweets_laboni276,"“How do we fight against this monstrous machine of lies and falsehood? The purveyors of hate and falsehood have so many resources – money, pliant news channels, troll armies, and the police too.”……👆Why we need a #BharatJodoYatra  https://t.co/2MVruksWei",fight monstrous machine lie falsehood purveyor hate falsehood many resource money pliant news channel troll army police toowhy need,negative,critisism
tweets_mystic_shoo,"🔻Throw slush on him

🔻Demean him in such third rate ways

🔻Frame videos &amp; create lies to tarnish his image

🔻Spew venom on him wilfully 

🌸BUT🌸

💝Like GOLD which shines brighter in fire , RAGA 💝stands tall ,with the shining armour of TRUTH &amp; COMPASSION!

#BharatJodoYatra https://t.co/FmL11NphSm",throw slush demean third rate way frame videos create lie tarnish image spew venom wilfully like gold shine brighter fire raga stand tall shin armour truth compassion,positive,
tweets_a_amgoth,"With every step we take in #BharatJodoYatra, India moves forward with us. Step by step, we get closer to development, progress, growth, and a peaceful and glorious nation. https://t.co/y0qm59Kcga",every step take india move forward u step step get close development progress growth peaceful glorious nation,positive,
tweets_Bilacksmith,"@ndtv To take a long jump one has to go little back so that He/She can jump longer. The game is just started the best is on the way. 
#BharatJodoYatra 
@anushakunmittal",take long jump go little back heshe jump longer game start best way,positive,
tweets_csg52,"@INCTelangana @JayasreeVijayan @smritiirani #BharatJodoYatra ,#BharatTodoYatra 
VISITING A STATUE OF SRI VIVEKANANDA JI it does not mean that you are following his teachings  WHAT A JOKE.  IF CONGRESS had followed it  India would have been a better place 5000 SIKHS NEED NOT HAVE BEEN BUTCHERED. AMETHI GAVE YOU A LESSON.",visit statue sri vivekananda ji not mean follow teaching joke congress follow india would well place 5000 sikh need not butcher amethi give lesson,negative,critisism
tweets_boomlive_in,"The Congress said that the aim of the yatra was to unite the country on certain problems faced by the country.

#RahulGandhi #BharatJodoYatra #Congress 
https://t.co/VSPXLaqHG4",congress say aim yatra unite country certain problem face country,negative,critisism
tweets_moini_565,"Shri Ghulam Nabi meeting Shri Amit Shah and Shri Samant Kumar at Amit Shah residence before leaving Congress Party,
#IndiaSave Run the traitors of the country And Save the Country #BharatJodoYatra https://t.co/BpbTOcOihU",shri ghulam nabi meeting shri amit shah shri samant kumar amit shah residence leave congress party run traitor country save country,negative,critisism
tweets_SevadalBUD,"Feeling safer than ever with the additional security!

#BharatJodoYatra https://t.co/dQM3kO0eRt",feel safer ever additional security,positive,
tweets_RupenderUP1,"Just keeping giving such befitting replies 😂
#BharatJodoYatra https://t.co/VyFn9UeNE4",keep give befitting reply,positive,
tweets_ashiscray,"LIVE from #Kerala. @INCIndia's #BharatJodoYatra @bharatjodo led  by @RahulGandhi. A gigantic mass contact, mass consciousness campaign. Not on a fancy makeshift chariot. A 3,500 km walk to unitea divided India! Staggering! @INCTamilNadu @INCKerala https://t.co/DmEKs9dPaB",live lead gigantic mass contact mass consciousness campaign not fancy makeshift chariot 3500 km walk unitea divide india staggering,positive,
tweets_INC_Television,"Common GOALS!

The #BharatJodoYatra kick-started today with a wholesome interaction between Rahul Gandhi and young footballers in Kerala.

We all walk to ensure their tomorrow is- better. https://t.co/wmdZuPCwRd",common goal kickstarted today wholesome interaction rahul gandhi young footballer kerala walk ensure tomorrow well,positive,
tweets_NandiniRajawat7,"We need to fight the Sanghis and we need to stand up for every Indian.

#BharatJodoYatra #Sanghis https://t.co/FEKunes5bH",need fight sanghis need stand every indian,negative,hate
tweets_AjitsinhJagirda,"@GSNarayan1960 @SweetBandit108 @AnilNagrani6 @nkjohri @Ravichiruvolu1 @apurvaparikh18 @Amaresh45814810 @Bhupendra26 @dharmvir_9 @ugotbala @sukumaranlens @AgrawalSadhuram @ArunDeshpande20 @Savitritvs @sureshseshadri1 @NetaNiyanta @vbanno @Dr_MR_Satapathy @ChowkidarChokra @Visalmama @Anandi_sanatani @_ankahi @LoveBharatvarsh @bgopu1973 @umeshctyagi @nalini51purohit @swetashandilya @keeranl @AAshaRathod @SanskarBarot @Satishrathod100 @Am_dilip1 @Anju1951Purohit @Resurgent_India @shytigress @sbk1963 @SharmaJyots @GenPanwar @MeghUpdates @RameshwarAryaji @MediaHarshVT @sambitswaraj @RagiSangit @AmanChopra_ Vatican flag is seen at #Vizhinjam port protest at Trivandrum. This shows who are behind this protest. They visited RahulGandhi today
#BharatJodoYatra or
#BharatTodoYatra ?

It's #ChristiansAgainstIndia like Islamic terrorists in guise of protests. https://t.co/N2PGwecyd3",vatican flag see port protest trivandrum show behind protest visit rahulgandhi today like islamic terrorist guise protest,negative,hate
tweets_Voiceofmythoug1,"@americai @dmk_raja @INCTamilNadu @KS_Alagiri @INCIndia @CMOTamilnadu @RahulGandhi @anand_srini @MKumaramangalam know why congress is failing?
Having this kind of people in your party who is being mouth piece of bjp&amp;rss.having  these people in party .how will
opposition unite or india unite #BharatJodoYatra ? If this is congress.i won't vote for it",know congress fail kind people party mouth piece bjpamprsshaving people party opposition unite india unite congressi wont vote,negative,critisism
tweets_rvelichapat,"@GauravPandhi @pinarayivijayan 1. Availability of ambulances on call which is a good sign
2. #BharatJodoYatra and all other vehicles and procession give way to ambulances on priority which is a sign of educated community. 
#proudmalayali",1 availability ambulance call good sign 2 vehicle procession give way ambulance priority sign educate community,positive,
tweets_XSingam,@BJP4India @sambitswaraj It is Sambit who is creating a violent campaign against #BharatJodoYatra which is happening in a peaceful manner with Common people taking part voluntarily #DARRGAYABJP,sambit create violent campaign happen peaceful manner common people take part voluntarily,negative,hate
tweets_Gurda_Kaleja,#BharatJodoYatra Movement is disaster for RSS!! 🤞 https://t.co/abIBAgjcRi,movement disaster r,negative,
tweets_AbdulMajid_inc,Driving force behind #BharatJodoYatra 🇮🇳. The smile says it all.                             @INCIndiaLive @rohanrgupta @RahulGandhi @OfficeOfKNath https://t.co/tUKeF31SeX,drive force behind smile say,positive,
tweets_ShivMehra07,"@kap_bee
He is there
A Leader, 
A True Gentleman,
What You Need In PM?? 
Manipulator,
Emotionless,
Lier,
Troller,
Propagator,
Or You Need A Simple &amp; Sober Man With Lots Of Respect &amp; Pain For Our Countrymen To Lead You,
#MyLeaderRahulGandhi 
#BharatJodoYatra https://t.co/0MqZL4iRrq",leader true gentleman need pm manipulator emotionless li troller propagator need simple sober man lot respect pain countryman lead,positive,
tweets_terence_fdes,"@Puneetvizh @TweetInder @SamHarris2429 @shuchitasrivast @JoeSaldanha @Trendsetting123 @SethLalits @Ajaykumar00009 @KJSingh12518759 @ronaldrajanna @priyankagandhi @fredhamilton @LambaAlka @RahulGandhi @pathan_neamath @SaddamSamsadINC @geetv79 @kukk44 @SujataIndia1st @psmanwatkar @priyapyadav18 @watdehel @PadmraniK @rkmarar9 @WeThePeople3009 @shubhshaurya1 @inbred_mind @Subytweets @ranjona @Malz59408224 @mrsinghCricUmp @Aakar__Patel @silvestercliff @tjose66 @RaniPadmaK @09mitali @aniljames65_inc @nandtara @Alwynmoras4870 @75 @PriyaaReturnz @ManojMehtamm @BN34772728 @priyankac19 @Pawankhera @kap_bee @AliyaAbbas @NayakRagini Why are they so rattled 😱😆
Remove tweet on burning shorts: BJP to Congress
#BharatJodoYatra https://t.co/ip1j5xgl7A",rattle remove tweet burn short bjp congress,negative,critisism
