Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text,category,sub-category,
13,128334973,CyberAnonymous,1.57E+18,2022-09-13 07:37:41+00:00,"timesofindia: #Congress' #BharatJodoYatra enters 7th day 

https://t.co/5hIfvgzMB8",en,0,1994,timesofindia enters 7th day URL ,neutral,,
18,7.07E+17,PumpiBaghel,1.57E+18,2022-09-13 07:37:35+00:00,"Bharat Jodo Yatra believes in inclusion of people from all walks of life. 

It believes in equality, simplicity and amplifying people's voices.
#BharatJodoYatra https://t.co/40hjuh4PWA",en,0,20978,bharat jodo yatra belief in inclusion of people from all walk of life it belief in equality simplicity and amplifying people voice URL ,positive,,
19,7.07E+17,PumpiBaghel,1.57E+18,2022-09-13 07:37:35+00:00,"The idea of #BharatJodoYatra 🇮🇳 cuts across all cultures, religions &amp; languages. 
Padyatris march on as history is being scripted! https://t.co/ZEOFrpDPw5",en,0,20978,the idea of cut across all culture religion amp language padyatris march on a history is being scripted URL ,,,
23,8.12E+17,Nil_deshbhratar,1.57E+18,2022-09-13 07:37:29+00:00,"From Cycle Yatra to Padyatra, the love and support of the people remain intact.""

#YatraStories 
#BharatJodoYatra 🇮🇳 https://t.co/YzuHRUXmHJ",en,0,5941,from cycle yatra to padyatra the love and support of the people remain intact URL ,positive,,
28,1.06E+18,SevadalOR,1.57E+18,2022-09-13 07:37:16+00:00,"After Dinner Stunt With Auto Driver Chota Sanghi @ArvindKejriwal Returns To Delhi by Private Jet 

#BharatJodoYatra 🇮🇳 https://t.co/8d6MYidpgX",en,0,7423,after dinner stunt with auto driver chota sanghi return to delhi by private jet URL ,negative,hate,
30,70487291,c_w_mckenzie,1.57E+18,2022-09-13 07:37:12+00:00,It maybe a ploy by the communist government in Kerala to defame the #BharatJodoYatra by projecting it as a nuisance for emergency services https://t.co/dxjgwwDRhi,en,0,196,it maybe ploy by the communist government in kerala to defame the by projecting it a nuisance for emergency service URL ,negative,criticism,
41,1.24E+18,SevadalBV,1.57E+18,2022-09-13 07:36:56+00:00,"Day 7, #BharatJodoYatra 🇮🇳

Bharat Jodo Yatra believes in inclusion of people from all walks of life. 

It believes in equality, simplicity and amplifying people's voices. https://t.co/yuWDxK3k5w",en,0,1077,day bharat jodo yatra belief in inclusion of people from all walk of life it belief in equality simplicity and amplifying people voice URL ,positive,,
70,9.44E+17,DilipKu50136698,1.57E+18,2022-09-13 07:35:51+00:00,The joy of witnessing the historic movement unfold!  #BharatJodoYatra 🇮🇳 https://t.co/FT8IIDZy3C,en,0,232,the joy of witnessing the historic movement unfold URL ,positive,,
71,1.19E+18,ShivdeepDehari2,1.57E+18,2022-09-13 07:35:51+00:00,"Always an enlightening experience communicating ideas with the students. India's future lies in the hands of youth &amp; it is our duty to fulfill their aspirations.
#BharatJodoYatra 🇮🇳 https://t.co/KYh5TL3KV3",en,0,1886,always an enlightening experience communicating idea with the student india future lie in the hand of youth amp it is our duty to fulfill their aspiration URL ,positive,,
88,8.16E+17,ankitpalnsui100,1.57E+18,2022-09-13 07:35:19+00:00,"Shri @RahulGandhi , senior leaders from @INCIndia and @INCKerala  stop at a local Hotel for a hot cup of Tea during the #BharatJodoYatra
@RahulGandhi @IYCKerala @KeralaPMC @SevadalKL https://t.co/vdoaF342XT",en,0,1518,shri senior leader from and stop at local hotel for hot cup of tea during the URL ,,,
95,1.50E+18,syed_zakir_1947,1.57E+18,2022-09-13 07:35:05+00:00,"Burnol moment for Sanghis
#BharatJodoYatra https://t.co/y8u7BseTwU",en,0,1273,burnol moment for sanghis URL ,negative,hate,
