Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text,category,sub-category,comments
11,4774134079,RanjanPathak83,1.57E+18,2022-09-12 08:34:00+00:00,"Weldone @KapilMishra_IND �??�??�??

#KapilExposesKejriwal https://t.co/T6Z98pje8l",en,0,93,weldone URL ,positive,,
124,1.42E+18,realhindutiger,1.57E+18,2022-09-10 18:30:41+00:00,"#KapilExposesKejriwal should be trend in all over India.

Everyone aware with the reality of @ArvindKejriwal Delhi Model.

Keep it up @KapilMishra_IND https://t.co/91l6gUbZiU",en,0,24,should be trend in all over india everyone aware with the reality of delhi model keep it up URL ,positive,,
142,4076494032,BalbirS28928968,1.57E+18,2022-09-10 16:38:51+00:00,Salute to you sir #KapilExposesKejriwal,en,0,426,salute to you sir ,positive,,
182,1.57E+18,ricky79805660,1.57E+18,2022-09-10 14:48:15+00:00,"Real face of Islam and mohmmd,https://t.co/OYfWgdZ23O, #KapilExposesKejriwal",en,0,0,real face of islam and mohmmd URL ,positive,,
183,1.57E+18,ricky79805660,1.57E+18,2022-09-10 14:47:48+00:00,"#KapilExposesKejriwal, https://t.co/OYfWgdZ23O, real face of Islam and mohmmd",en,0,0,URL real face of islam and mohmmd ,positive,,
221,1.21E+18,ProudlySanghi,1.57E+18,2022-09-10 13:04:56+00:00,"#ArvindKejriwal Okay This Is Your #DelhiModel Of Development? ??��

#LiquorShop #LiquorInMetro
#LiquorScam #KapilExposesKejriwal #ArvindKejriwal https://t.co/9poJS0xZIw",en,0,110,okay this is your of development URL ,positive,,
254,3300423444,spydetectiveA,1.57E+18,2022-09-10 12:08:39+00:00,"Spy Detective Agency is a Licensed and Well-known Detective agency in Mumbai in terms of offering reliable services to their clients.

https://t.co/bynA0ApLgt

#spydetectiveagency #mumbai #DeepikaPadukone #KapilExposesKejriwal #BrahmastraPartOneShiva",en,0,398,spy detective agency is licensed and well known detective agency in mumbai in term of offering reliable service to their client URL ,positive,,
258,7.20E+17,zoneofdeals,1.57E+18,2022-09-10 12:03:59+00:00,"https://t.co/V8BlXjlWle
Buy Vivo Y67 | Android Smartphone | 4GB +64GB JIO WORKING - Excellent New Condition | REFURBISHED SMARTPHONE- For Rs.4,599/-
.
#vivo #SachinTendulkar Part 2 #KapilExposesKejriwal 
#DeepikaPadukone #KanganaRanaut #music #iPhone PRATHNA ERA BEGINS #Viral https://t.co/ZIeW8Af9Mp",en,2,345,URL vivo y67 android smartphone 4gb 64gb jio working excellent new condition refurbished smartphone for r 599 part prathna era begin URL ,positive,,
276,2734580167,sunilmewada056,1.57E+18,2022-09-10 11:47:25+00:00,"True
#KapilExposesKejriwal",en,0,4351,true ,positive,,
355,1.52E+18,iamravikumar_,1.57E+18,2022-09-10 10:53:57+00:00,Trending Now. #KapilExposesKejriwal,en,0,86,trending now ,positive,,
356,1.50E+18,RitikaJ87961678,1.57E+18,2022-09-10 10:53:00+00:00,"In Jaisalmer, Home Minister Amit Shah garlanded the victory pillar, worshiped at #TanotMata temple...
#AmitShahWithBSF 
#KapilExposesKejriwal https://t.co/IgiW2o1X7x",en,0,1679,in jaisalmer home minister amit shah garlanded the victory pillar worshiped at temple URL ,positive,,
