"username","orig_sentence","cleaned_sentence","category","sub-category"
"tweets_j_p_eggert","Started the day with a presentation on #gender and rehabilitation/#reintegration after #terrorism offences. In the room: a group of practitioners &amp","start day presentation rehabilitation offence room group practitioner amp",,
"tweets_Asli_RealIndian","@thewire_in a Propaganda Machin to justify Islamic Terrorism &amp","propaganda machin justify islamic terrorism amp",,
"tweets_FarhanA54540486","@leicspolice The #Hindutva ideology with deep rooted #Islamophobia has already created havoc in a democracy like India with crimes against minorities in the name of fake love jihad &amp","ideology deep root already create havoc democracy like india crime minority name fake love jihad amp",,
"tweets_MuslimahRev","@leicspolice can you please confirm &amp","please confirm amp",,
"tweets_LisaJWilbur","@RollingStone @StephenCurry30 #Trump wasn't in office when #WhiteSupremacists &amp","wasnt office amp",,
"tweets_Kritart45625128","This is absolutely shameful &amp","absolutely shameful amp",,
"tweets_MuslimahRev","@peterkyle @UKLabour UK Labour? The same one that won't address it's racism &amp","uk labour wont address racism amp",,
"tweets_LisaJWilbur","@POTUS #JoeBiden your #Gaslighting Suppression of #Whitmergate isn't working. #MAGA wasn't in existence when #WhiteSupremacists &amp","suppression isnt work wasnt existence amp",,
"tweets_OrderofAlamut","Sometimes I experience so much racism &amp","sometimes experience much racism amp",,
"tweets_Adilpirbhai","@margarethodge @Keir_Starmer Please have u worked hard to rid #Islamophobia &amp","please u work hard rid amp",,
"tweets_MuslimahRev","It's amazing you openly support a party trying to gain votes by ignoring #Islamophobia &amp","amaze openly support party try gain vote ignore amp",,
"tweets_Imransomani","#Islamophobia Hatemongers &amp","hatemonger amp",,
"tweets_chap_olive","#RRR (7/7) woke want india to be shattered than communists &amp","77 wake want india shatter communist amp",,
"tweets_ab_malman","@LittleBoats2020 So are all other Abrahamic faiths &amp","abrahamic faith amp",,
"tweets_moe_nadeem","@Simon1Go @cpmasterson @AlinejadMasih where are @IlhanMN @RashidaTlaib @ImranKhanPTI @POTUS @VP @JustinTrudeau @theJagmeetSingh @SpeakerPelosi who constantly cry #Islamophobia &amp","constantly cry amp",,
