videoID,textDisplay,textOriginal,authorDisplayName,authorChannelId,publishedAt,preprocessed_text,category,sub-category,comments
rFBeoQFYA08,"Salute to the extraordinary resolve, stamina and courage of the Congress party and sri Rahul Gandhi in undertaking this 5 month long 3570 km GRUELLING PADYAATRA for connecting with people and highlighting the issues of inflation, unemployment, emphasizing social peace and harmony ...👍","Salute to the extraordinary resolve, stamina and courage of the Congress party and sri Rahul Gandhi in undertaking this 5 month long 3570 km GRUELLING PADYAATRA for connecting with people and highlighting the issues of inflation, unemployment, emphasizing social peace and harmony ...👍",Common Indian,UCrrPW_CfZKXYOGnLeUutEMg,2022-09-13T02:03:21Z,salute to the extraordinary resolve stamen and courage of the congress party and sri rahul gandhi in undertaking this month long 3570 km gruelling padyaatra for connecting with people and highlighting the issue of inflation unemployment emphasizing social peace and harmony ,POSITIVE,,
rFBeoQFYA08,"RSS is down now! Modi ki kacchi on fire too! Now he might talk about kacchi baat, not mun ki baat!","RSS is down now! Modi ki kacchi on fire too! Now he might talk about kacchi baat, not mun ki baat!",Course Facilitator,UCtQOZzlBz0vkTYA4YXDipxQ,2022-09-12T22:06:25Z,r is down now modi ki kacchi on fire too now he might talk about kacchi baat not mun ki baat ,NEGATIVE,CRITICISM,
rFBeoQFYA08,BJP BHAGAO DESH BACHAO,BJP BHAGAO DESH BACHAO,Akhi Sucs,UCiqaT7glU_OXA0_zmJZhUvg,2022-09-12T21:05:40Z,bjp bhagao desh bachao ,NEGATIVE,CRITICISM,
rFBeoQFYA08,Don&#39;t worry sambit patra jald hi satta hath se jayegi jyda ahnkar mt dikhao,Don't worry sambit patra jald hi satta hath se jayegi jyda ahnkar mt dikhao,kumarvinay,UCMhsecscgkS6blr1PtUjFfw,2022-09-12T20:47:51Z,don worry sambit patra jald hi satta hath se jayegi jyda ahnkar mt dikhao ,NEGATIVE,CRITICISM,
rFBeoQFYA08,Joor ka jhatka dhire se<br>Jai ho Congress,"Joor ka jhatka dhire se
Jai ho Congress",Tinku Tanveer,UCL3vn_QcCaXUhG0U6pA6u-A,2022-09-12T22:03:11Z,joor ka jhatka dhire se jai ho congress ,POSITIVE,,
rFBeoQFYA08,Mujhe nhi dikhna tumhara Aaj Tak na kal tak band kar do ye news tum bs andbhakt ho,Mujhe nhi dikhna tumhara Aaj Tak na kal tak band kar do ye news tum bs andbhakt ho,NIKHIL GAUTAM,UClpQHQESvq-v2YB7VvKHM2Q,2022-09-12T18:49:34Z,mujhe nhi dikhna tumhara aaj tak na kal tak band kar do ye news tum b andbhakt ho ,NEUTRAL,,
rFBeoQFYA08,Congress party jindabad,Congress party jindabad,status king,UCJpZoWgVy4Y1UUiC_nmOIVw,2022-09-13T00:49:12Z,congress party jindabad ,POSITIVE,,
rFBeoQFYA08,Jay congress Jay congress,Jay congress Jay congress,Rakesh Kanzariya,UC_n4H8ir_lf5E_M6yCq2_yQ,2022-09-12T23:09:50Z,jay congress jay congress ,POSITIVE,,
rFBeoQFYA08,RAHUL GANDHI JINDABAAD,RAHUL GANDHI JINDABAAD,Akhi Sucs,UCiqaT7glU_OXA0_zmJZhUvg,2022-09-12T21:05:22Z,rahul gandhi jindabaad ,POSITIVE,,
rFBeoQFYA08,Congress should not have done that,Congress should not have done that,Wall,UCnCZhVs1CSVntoY3O1FxTig,2022-09-12T21:48:27Z,congress should not have done that ,NEGATIVE,CRITICISM,
rFBeoQFYA08,RSS,RSS,Makan singh deol,UCjPeJ1Mh26mLt6O3aUFEfEw,2022-09-12T18:50:58Z,r ,NEUTRAL,,
