"videoID","textDisplay","textOriginal","authorDisplayName","authorChannelId","publishedAt",,"preprocessed_text","category","sub-category"
"ix8G-OsbAiI","Sir we want full length vedio on  this beautiful poem. JAI HIND JAI SANATAN 🇮🇳🚩","Sir we want full length vedio on  this beautiful poem. JAI HIND JAI SANATAN 🇮🇳🚩","Aditya Dev","UCrb6Ooo682WQvUCIYN3zKUg","2022-09-12T09:37:29Z",,"sir we want full length vedio on this beautiful poem jai hind jai sanatan ","positive",
"ix8G-OsbAiI","Congratulations Manoj Sir and all Hindus in the world","Congratulations Manoj Sir and all Hindus in the world","utkarsh kumar","UCvxa8nFxDIelaF5fhKJaPCA","2022-09-12T09:33:45Z",,"congratulation manoj sir and all hindu in the world ","positive",
"ix8G-OsbAiI","Proud of Vishnu Shankar Jain,<br>Advocate from Hindu side<br><br>He is a pride for entire Jain Community <br>We stand together with our Hindu brothers<br><br>Bharat Mata Ki Jai 🙏","Proud of Vishnu Shankar Jain,
Advocate from Hindu side

He is a pride for entire Jain Community 
We stand together with our Hindu brothers

Bharat Mata Ki Jai 🙏","AJ","UCBaPcxnKCi_uwzQBXXRZr-A","2022-09-12T17:00:48Z",,"proud of vishnu shankar jain advocate from hindu side he is pride for entire jain community we stand together with our hindu brother bharat mata ki jai ","neutral",
"ix8G-OsbAiI","You are the saviour of Sanatan dharma in modern times. I am very much inspired from you.","You are the saviour of Sanatan dharma in modern times. I am very much inspired from you.","Adityanath","UCJIGvu0KX6JJgE0HQQsIKbQ","2022-09-12T09:39:54Z",,"you are the saviour of sanatan dharma in modern time am very much inspired from you ","positive",
"ix8G-OsbAiI","&quot;One of the best things about dude is that he never takes credit for himself when he achieves something. He always respect us, the Audience, and his team, and he is always polite in all of his videos. We congratulations ourselves this achievement. More to come and everything to come...❤","""One of the best things about dude is that he never takes credit for himself when he achieves something. He always respect us, the Audience, and his team, and he is always polite in all of his videos. We congratulations ourselves this achievement. More to come and everything to come...❤","priya","UCrXNhSY0WGoLwQwqBd922Xg","2022-09-12T09:32:21Z",,"one of the best thing about dude is that he never take credit for himself when he achieves something he always respect u the audience and his team and he is always polite in all of his video we congratulation ourselves this achievement more to come and everything to come ","positive",
"ix8G-OsbAiI","🔥If you are UNCOMFORTABLE with the TRUTH , that’s NOT THE TRUTH’S PROBLEM ! HAR HAR MAHADEV!🕉🙏","🔥If you are UNCOMFORTABLE with the TRUTH , that’s NOT THE TRUTH’S PROBLEM ! HAR HAR MAHADEV!🕉🙏","Shambho Study with me","UCqJSeTMX7ndNSHmBkF0v91g","2022-09-12T13:08:23Z",,"if you are uncomfortable with the truth that not the truth problem har har mahadev ","neutral",
"ix8G-OsbAiI","Amazing!! Wish we all had courage to be vocal like him❤️","Amazing!! Wish we all had courage to be vocal like him❤️","Tanu Sharma","UCdogfbXMbx7RMlJiDbOmshA","2022-09-13T10:56:51Z",,"amazing wish we all had courage to be vocal like him ","neutral",
"ix8G-OsbAiI","Lots of respect and support to you sir... Thank you so much for inspiration 😊","Lots of respect and support to you sir... Thank you so much for inspiration 😊","Rajani More","UC0qjROUwc7prMj5NwTwjJdg","2022-09-12T17:07:52Z",,"lot of respect and support to you sir thank you so much for inspiration ","positive",
"ix8G-OsbAiI","The way he represent the truth is just amazing 😊","The way he represent the truth is just amazing 😊","Gayatri Ghadai","UCcARww7RhniZPVPDsSGi7_A","2022-09-12T15:21:01Z",,"the way he represent the truth is just amazing ","neutral",
"ix8G-OsbAiI","I think you should make these poetry in English so that you can reach the world. And your voice need to reach the world ...","I think you should make these poetry in English so that you can reach the world. And your voice need to reach the world ...","Shanto","UCO8iHNNF_FnDgnC9UTe6BFg","2022-09-12T11:34:31Z",,"think you should make these poetry in english so that you can reach the world and your voice need to reach the world ","positive",
"ix8G-OsbAiI","We are the ancient civilization, that&#39;s why we have legends of Gods fighting with Demons, while, these abrahmic religions, who are born recently, are fighting with each other and they have Messenger of their Gods, fighting with other contemporary messangers.","We are the ancient civilization, that's why we have legends of Gods fighting with Demons, while, these abrahmic religions, who are born recently, are fighting with each other and they have Messenger of their Gods, fighting with other contemporary messangers.","Avinash Kumar","UC0EMiMhLdSG7WCy4PfHkK0A","2022-09-12T10:13:09Z",,"we are the ancient civilization that why we have legend of god fighting with demon while these abrahmic religion who are born recently are fighting with each other and they have messenger of their god fighting with other contemporary messangers ","negative","criticism"
"ix8G-OsbAiI","<b>Literally in love with this proud son of maa bharati.</b>","*Literally in love with this proud son of maa bharati.*","Ujjwal Lvsdkdm","UCNyfJhldy8MC095rcPjoquA","2022-09-12T14:18:20Z",,"literally in love with this proud son of maa bharati ","positive",
"ix8G-OsbAiI","you are enlightening the truth, respect","you are enlightening the truth, respect","experience life","UCQOCghuVtMB3eTQehYha2jw","2022-09-12T10:23:07Z",,"you are enlightening the truth respect ","positive",
"ix8G-OsbAiI","Great respect to you sir. <br>Jai shree Ram 🙏🏻","Great respect to you sir. 
Jai shree Ram 🙏🏻","Thakur Khushi Singh","UCt5tlflc7RQiXo8FIYVWrZg","2022-09-12T18:33:10Z",,"great respect to you sir jai shree ram ","positive",
"ix8G-OsbAiI","Har Har Mahadev 🙏 Sir Jii I Am Your Huge Fan.....","Har Har Mahadev 🙏 Sir Jii I Am Your Huge Fan.....","Aman Sharma","UCmiKGO6Dwlf_rP3y54lbpYw","2022-09-12T09:32:28Z",,"har har mahadev sir jii am your huge fan ","neutral",
"ix8G-OsbAiI","Goosebumps!!","Goosebumps!!","JAIN SAHAB","UCmVAI2mgrEvHrR_dUbFZGmQ","2022-09-12T13:46:43Z",,"goosebump ","neutral",
"ix8G-OsbAiI","Love ur every lines .....🙏🙏🙏","Love ur every lines .....🙏🙏🙏","Shivani Singh","UCrsOIqmkVZEXtrIOveO7m8g","2022-09-12T09:55:39Z",,"love ur every line ","positive",
"ix8G-OsbAiI","Satya Sanatan dharm ki jai 🙏🙏<br>Manoj sir aapki iss  Kavita ko mera naman hai. <br>Sir you are truly an inspiration 🙏🙏","Satya Sanatan dharm ki jai 🙏🙏
Manoj sir aapki iss  Kavita ko mera naman hai. 
Sir you are truly an inspiration 🙏🙏","Vartika Khanna","UCNDvWe4_W1n9jBgcCXbgb9g","2022-09-12T21:50:37Z",,"satya sanatan dharm ki jai manoj sir aapki i kavita ko mera naman hai sir you are truly an inspiration ","positive",
"ix8G-OsbAiI","We are proud of u Manoj bhaiya,,we r fortunate to hav u in our generation","We are proud of u Manoj bhaiya,,we r fortunate to hav u in our generation","PM","UC9qzNcSNBKv_xuPPhvph2Fw","2022-09-12T17:18:58Z",,"we are proud of manoj bhaiya we fortunate to hav in our generation ","positive",
"ix8G-OsbAiI","Full support you Sir keep it up<br>Respect from Bengal","Full support you Sir keep it up
Respect from Bengal","Ni§hâ","UCYEodFR6VpzKM2gM3dU551Q","2022-09-12T20:37:58Z",,"full support you sir keep it up respect from bengal ","positive",
"14lcq3uxnb8","Get the carbon dating of Shiv Linga/Fountain and if the result predates to ancient years this issue will be sorted. It&#39;s very simple, I don&#39;t understand why courts don&#39;t pass the order regarding carbon dating.","Get the carbon dating of Shiv Linga/Fountain and if the result predates to ancient years this issue will be sorted. It's very simple, I don't understand why courts don't pass the order regarding carbon dating.","Atul Sawant","UCfrhFTlUj4hKupp98oh1ymA","2022-09-13T14:23:25Z",,"get the carbon dating of shiv linga fountain and if the result predates to ancient year this issue will be sorted it very simple don understand why court don pas the order regarding carbon dating ","negative","criticism"
"14lcq3uxnb8","Tajmahal ke niche actually total 10 chamber tha uha par 10 mahavidya ka puja hota tha.","Tajmahal ke niche actually total 10 chamber tha uha par 10 mahavidya ka puja hota tha.","D Bhattacharyya","UCRV8HDdYL8A9D4hEr9IC0ng","2022-09-14T11:43:34Z",,"tajmahal ke niche actually total 10 chamber tha uha par 10 mahavidya ka puja hota tha ","neutral",
"14lcq3uxnb8","Joy shree ram","Joy shree ram","Arjun Chakraborty","UCuPfxrcpmSiF0eEIL5ouabw","2022-09-13T15:49:57Z",,"joy shree ram ","positive",
"14lcq3uxnb8","Jay bhola Nath,Jay shree Ram","Jay bhola Nath,Jay shree Ram","bukulo das","UCJLq41UAjSoMf9nY9iu_jeg","2022-09-13T14:35:25Z",,"jay bhola nath jay shree ram ","positive",
"14lcq3uxnb8","Jai hind jai bharat babar enka bap h to ye tha kya kar rhe h","Jai hind jai bharat babar enka bap h to ye tha kya kar rhe h","Robin kumar","UCHl5yEFEMVaz2-SN61Ho2TQ","2022-09-14T08:55:18Z",,"jai hind jai bharat babar enka bap to ye tha kya kar rhe ","negative","criticism"
"14lcq3uxnb8",7,7,"arun sharma","UCoYpD6ottECDj5a3FKVx7Mw","2022-09-13T12:53:10Z",,,"neutral",
"14lcq3uxnb8","Aditi you should only be a neutral modrater","Aditi you should only be a neutral modrater","Shabeer Hussain","UCa7H7_QtPQ2ugm7Ry57mW4w","2022-09-13T12:17:58Z",,"aditi you should only be neutral modrater ","negative","criticism"
"F6vII3WODEk","Atik Ahmed is right, at least disputes must be enlisted and a line needs to be drawn for ending of such matters.","Atik Ahmed is right, at least disputes must be enlisted and a line needs to be drawn for ending of such matters.","Ashutosh Goantiya","UCOlgXlVfqdczGtjfwZP3wsQ","2022-09-13T17:06:15Z",,"atik ahmed is right at least dispute must be enlisted and line need to be drawn for ending of such matter ","neutral",
"F6vII3WODEk","Truth is always truth....","Truth is always truth....","Shuvo Joy","UCVUdb42_G26STKUdW-3O8YQ","2022-09-13T10:10:03Z",,"truth is always truth ","neutral",
