,"user_id","username","id","date","Tweet","lang","replyCount","followersCount","category","sub-category",,
0,111362459,"migrants_rights",1.57431E+018,"2022-09-26 08:01:05+00:00","EVENT THIS THURSDAY!
 
...exploring the connections between #Islamophobia, #bordering + #migration discourse, + the ramifications of the #waronterror

cohosts: @mendcommunity 

for more info + tickets: https://t.co/sIX5Y3QjVL","en",0,34833,,,,
1,1.53481E+018,"MatsyaaAvatar1",1.57431E+018,"2022-09-26 07:56:49+00:00","#realfaceofislam
#Islamophobia https://t.co/vjnHucj4GZ","qht",0,1,,,,
2,1.53481E+018,"MatsyaaAvatar1",1.57431E+018,"2022-09-26 07:54:56+00:00","#Islamophobia #realfaceofislam https://t.co/9G38qSuEps","qht",0,1,,,,
3,71229515,"parekh_vipul",1.57431E+018,"2022-09-26 07:54:06+00:00","@NEVOX23118663 @IAMCouncil Ok tell me why there is on word #Islamophobia ? Why there is no JewPhoebia ? Or Hinduphobia? Or ChristianPhobia ? 😁 https://t.co/NbElcA31X3","en",0,80,,,,
4,1.53481E+018,"MatsyaaAvatar1",1.57431E+018,"2022-09-26 07:53:25+00:00","#Islamophobia #realfaceofislam https://t.co/WBUUT0HBx3","qht",0,1,,,,
5,2800338889,"CIIB_be",1.57431E+018,"2022-09-26 07:48:59+00:00","Concours sur l'#islamophobie genrée dans le cadre du projet Muslim Women and communities Against Gender #Islamophobia in society. #MAGIC
Les récits sélectionnés seront publiés sur le site internet du projet et traduits en anglais, français et espagnol. 
A vos plumes/claviers 😉 https://t.co/DCvV5N3D7d","fr",0,2592,,,,
6,7.44295E+017,"t77szilagyi",1.5743E+018,"2022-09-26 07:42:26+00:00","@RVilkomerson @nytimes The term #Islamophobia was created (c.100 years ago, and gradually popularized since the 70's) by apologists of Islam, conservative Muslims, and Islamists to silence the critics of #Islam.

Today, it is used by the same fascists, an","en",0,204,,,,
7,1.51688E+018,"biramrita",1.5743E+018,"2022-09-26 07:21:17+00:00","@akshaykumar ISIS Ko kyu laaye ?? #Islamophobia","hi",0,21,,,,
8,1.5037E+018,"aziz0fficial1",1.5743E+018,"2022-09-26 07:13:05+00:00","#Luton Islamic Centre demands the UK government to proscribe the #Hindutva RSS as a terrorist organisation.

#India #Islamophobia #Leicester https://t.co/Ht0TeMmi51","en",0,17,,,,
9,7.27932E+017,"ModernWorldCen",1.57429E+018,"2022-09-26 07:04:01+00:00","#ClashOfClans #Islamophobia Fact &amp"," fiction book site:Will we face WWIII or a war less boring place as #Fukayama says https://t.co/ajziOG2xzQ","en",0,2874,,,
10,4284356787,"WaseemB5",1.57429E+018,"2022-09-26 06:39:36+00:00","A thread 1/5) Everything she mentioned is allowed in Pakistan where does she live A cave ? and why would Muslims participate  in the festivals of other religions that literally celebrate their ""gods"" ? Smh these feminists are such a 🤡
#feminismiscancer #auratmarch #Islamophobia https://t.co/RoIo6uBo3T","en",1,18,,,,
11,1.44787E+018,"Raftaarimmu2",1.57429E+018,"2022-09-26 06:34:31+00:00","That not Pakistan zindabad that's popular front zindabad u r media not a bjp worker do ur work perfect for people not for bjp 
#alt_news #media_hatred #islamophobia https://t.co/0tx28FtJ0o","en",0,1,,,,
12,1.25232E+018,"Mohamed21553504",1.57429E+018,"2022-09-26 06:29:53+00:00","""This attack on #PFI is the continuation form of #Islamophobia""

This attack is the start to end many other muslim organisations who is questioning Govt.
@PFIOfficial

#SaveTheRepublic #PFIRaids #PFICrackdown #PFI #PFIJhukegaNai #NIA #ED
#IStandWithPFI https://t.co/2NNX81DVJB#PFI","en",0,14,,,,
13,1.27752E+018,"Akramsvn02",1.57428E+018,"2022-09-26 06:13:28+00:00","@crimereportsIn1 @Umm_e_Meeran #Islamophobia","qme",0,933,,,,
14,1.36179E+018,"The_MizBarnz",1.57428E+018,"2022-09-26 06:11:34+00:00","Sometimes, it takes a chance encounter &amp; someone who sees beyond the broken to remind you of why you are, who you are. Amid a rising #nationalism that spiked many things, like #Islamophobia, it found me. The bruises of her handprints took weeks to fade-my honor, like the calling.","en",1,2241,,,,
